Sequence accepted

Parse Tree (Father/Sibling Relations):
========================================

Index | Symbol | Type | Production | Father | Sibling | Lexeme | ST Location
  202 | power_tail | NTERM |         78 |    197 |      -1 | -      | -
  203 | mul_tail | NTERM |         72 |    195 |      -1 | -      | -
  204 | add_tail | NTERM |         67 |    194 |      -1 | -      | -
  205 | relation_tail | NTERM |         63 |    193 |      -1 | -      | -
  206 | equality_tail | NTERM |         57 |    192 |      -1 | -      | -
  207 | logic_and_tail | NTERM |         53 |    191 |      -1 | -      | -
  208 | logic_or_tail | NTERM |         50 |    190 |      -1 | -      | -
  209 | pipe_expr_tail | NTERM |         31 |    189 |      -1 | -      | -
  210 | RPAREN | TERM |         -1 |    185 |      -1 | )      | -
  211 | pipe_expr_tail | NTERM |         31 |    182 |      -1 | -      | -
  212 | program_tail | NTERM |          1 |    113 |      -1 | -      | -
  213 | NL     | TERM |         -1 |    212 |     214 | NL     | -
  214 | opt_stmt | NTERM |          4 |    212 |     215 | -      | -
  215 | program_tail | NTERM |          1 |    212 |      -1 | -      | -
  216 | NL     | TERM |         -1 |    215 |     217 | NL     | -
  217 | opt_stmt | NTERM |          3 |    215 |     437 | -      | -
  218 | stmt   | NTERM |          7 |    217 |      -1 | -      | -
  219 | when_stmt | NTERM |         14 |    218 |      -1 | -      | -
  220 | WHEN   | TERM |         -1 |    219 |     221 | when   | -
  221 | expr   | NTERM |         28 |    219 |     258 | -      | -
  222 | pipe_expr | NTERM |         29 |    221 |      -1 | -      | -
  223 | logic_or | NTERM |         48 |    222 |     257 | -      | -
  224 | logic_and | NTERM |         51 |    223 |     256 | -      | -
  225 | equality | NTERM |         54 |    224 |     255 | -      | -
  226 | relation | NTERM |         58 |    225 |     254 | -      | -
  227 | add    | NTERM |         64 |    226 |     240 | -      | -
  228 | mul    | NTERM |         68 |    227 |     239 | -      | -
  229 | unary  | NTERM |         75 |    228 |     238 | -      | -
  230 | power  | NTERM |         76 |    229 |      -1 | -      | -
  231 | primary | NTERM |         89 |    230 |     237 | -      | -
  232 | AVG    | TERM |         -1 |    231 |     233 | avg    | -
  233 | primary_after_ident | NTERM |         98 |    231 |      -1 | -      | -
  234 | LPAREN | TERM |         -1 |    233 |     235 | (      | -
  235 | arg_list_opt | NTERM |        106 |    233 |     236 | -      | -
  236 | RPAREN | TERM |         -1 |    233 |      -1 | )      | -
  237 | power_tail | NTERM |         78 |    230 |      -1 | -      | -
  238 | mul_tail | NTERM |         72 |    228 |      -1 | -      | -
